,index,TARGET,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,EXT_SOURCE_2,EXT_SOURCE_3,YEARS_BEGINEXPLUATATION_AVG,FLOORSMAX_AVG,LIVINGAREA_AVG,YEARS_BEGINEXPLUATATION_MODE,FLOORSMAX_MODE,LIVINGAREA_MODE,YEARS_BEGINEXPLUATATION_MEDI,FLOORSMAX_MEDI,LIVINGAREA_MEDI,TOTALAREA_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,DAYS_EMPLOYED_PERC,INCOME_CREDIT_PERC,INCOME_PER_PERSON,ANNUITY_INCOME_PERC,PAYMENT_RATE,BURO_DAYS_CREDIT_MIN,BURO_DAYS_CREDIT_MAX,BURO_DAYS_CREDIT_MEAN,BURO_DAYS_CREDIT_VAR,BURO_DAYS_CREDIT_ENDDATE_MIN,BURO_DAYS_CREDIT_ENDDATE_MAX,BURO_DAYS_CREDIT_ENDDATE_MEAN,BURO_DAYS_CREDIT_UPDATE_MEAN,BURO_CREDIT_DAY_OVERDUE_MAX,BURO_CREDIT_DAY_OVERDUE_MEAN,BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,BURO_AMT_CREDIT_SUM_MAX,BURO_AMT_CREDIT_SUM_MEAN,BURO_AMT_CREDIT_SUM_SUM,BURO_AMT_CREDIT_SUM_DEBT_MAX,BURO_AMT_CREDIT_SUM_DEBT_MEAN,BURO_AMT_CREDIT_SUM_DEBT_SUM,BURO_AMT_CREDIT_SUM_OVERDUE_MEAN,BURO_AMT_CREDIT_SUM_LIMIT_MEAN,BURO_AMT_CREDIT_SUM_LIMIT_SUM,BURO_CNT_CREDIT_PROLONG_SUM,BURO_MONTHS_BALANCE_SIZE_SUM,PREV_AMT_ANNUITY_MIN,PREV_AMT_ANNUITY_MAX,PREV_AMT_ANNUITY_MEAN,PREV_AMT_APPLICATION_MIN,PREV_AMT_APPLICATION_MAX,PREV_AMT_APPLICATION_MEAN,PREV_AMT_CREDIT_MIN,PREV_AMT_CREDIT_MAX,PREV_AMT_CREDIT_MEAN,PREV_APP_CREDIT_PERC_MIN,PREV_APP_CREDIT_PERC_MAX,PREV_APP_CREDIT_PERC_MEAN,PREV_APP_CREDIT_PERC_VAR,PREV_AMT_DOWN_PAYMENT_MIN,PREV_AMT_DOWN_PAYMENT_MAX,PREV_AMT_DOWN_PAYMENT_MEAN,PREV_AMT_GOODS_PRICE_MIN,PREV_AMT_GOODS_PRICE_MAX,PREV_AMT_GOODS_PRICE_MEAN,PREV_HOUR_APPR_PROCESS_START_MIN,PREV_HOUR_APPR_PROCESS_START_MAX,PREV_HOUR_APPR_PROCESS_START_MEAN,PREV_RATE_DOWN_PAYMENT_MIN,PREV_RATE_DOWN_PAYMENT_MAX,PREV_RATE_DOWN_PAYMENT_MEAN,PREV_DAYS_DECISION_MIN,PREV_DAYS_DECISION_MAX,PREV_DAYS_DECISION_MEAN,PREV_CNT_PAYMENT_MEAN,PREV_CNT_PAYMENT_SUM,POS_MONTHS_BALANCE_MAX,POS_MONTHS_BALANCE_MEAN,POS_MONTHS_BALANCE_SIZE,POS_SK_DPD_MAX,POS_SK_DPD_MEAN,POS_SK_DPD_DEF_MAX,POS_SK_DPD_DEF_MEAN,POS_COUNT,INSTAL_NUM_INSTALMENT_VERSION_NUNIQUE,INSTAL_DPD_MAX,INSTAL_DPD_MEAN,INSTAL_DPD_SUM,INSTAL_DBD_MAX,INSTAL_DBD_MEAN,INSTAL_DBD_SUM,INSTAL_PAYMENT_PERC_MAX,INSTAL_PAYMENT_PERC_MEAN,INSTAL_PAYMENT_PERC_SUM,INSTAL_PAYMENT_PERC_VAR,INSTAL_PAYMENT_DIFF_MAX,INSTAL_PAYMENT_DIFF_MEAN,INSTAL_PAYMENT_DIFF_SUM,INSTAL_PAYMENT_DIFF_VAR,INSTAL_AMT_INSTALMENT_MAX,INSTAL_AMT_INSTALMENT_MEAN,INSTAL_AMT_INSTALMENT_SUM,INSTAL_AMT_PAYMENT_MIN,INSTAL_AMT_PAYMENT_MAX,INSTAL_AMT_PAYMENT_MEAN,INSTAL_AMT_PAYMENT_SUM,INSTAL_DAYS_ENTRY_PAYMENT_MAX,INSTAL_DAYS_ENTRY_PAYMENT_MEAN,INSTAL_DAYS_ENTRY_PAYMENT_SUM,INSTAL_COUNT
2638,2638.0,0.0,1.0,1.0,0.0,0.0,135000.0,450000.0,24543.0,450000.0,0.028663,-9721.0,-490.0,-4385.0,-2392.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4797799364264812,0.5549467685334323,0.9906,0.3333,0.0514,0.9906,0.3333,0.0536,0.9906,0.3333,0.0523,0.0803,0.0,0.0,0.0,0.0,-71.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0504063367966258,0.3,135000.0,0.1818,0.05454,-2606.0,-71.0,-1300.375,549744.2678571428,-2271.0,296.0,-903.125,-713.125,0.0,0.0,1512.0,67882.5,24415.3125,195322.5,23035.5,3575.784375,28606.275,0.0,0.0321428571428571,0.225,0.0,0.0,3132.36,8302.815,5814.25875,17910.0,67455.0,40985.1,17667.0,80595.0,41990.4,0.836962590731435,1.1374210701229643,1.0003832436779967,0.0114610085244685,0.0,12321.0,3957.3,17910.0,67455.0,40985.1,9.0,17.0,13.2,0.0,0.2018363956336069,0.0768913137327464,-2871.0,-71.0,-1888.4,9.5,38.0,-47.0,-71.58536585365853,41.0,0.0,0.0,0.0,0.0,41.0,1.0,9.0,0.7894736842105263,30.0,43.0,8.736842105263158,332.0,1.0,1.0,38.0,0.0,0.0,0.0,0.0,0.0,8302.815,6413.881973684211,243727.515,3123.18,8302.815,6413.881973684211,243727.515,-1424.0,-2148.5789473684213,-81646.0,38.0
2639,2639.0,0.0,1.0,0.0,1.0,0.0,202500.0,985747.5,44545.5,796500.0,0.006207,-15228.0,-2515.0,-5738.0,-4333.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7113382020348302,0.4118485559242397,0.9881,0.375,0.0829,0.9881,0.375,0.0864,0.9881,0.375,0.0844,0.0711,1.0,0.0,1.0,0.0,-1734.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.1651562910428158,0.2054278605829586,101250.0,0.2199777777777777,0.0451895642646823,-2590.0,-221.0,-1173.076923076923,590427.7435897436,-2351.0,511.0,-747.6666666666666,-876.0,0.0,0.0,504.0,360000.0,79433.65384615384,1032637.5,296617.5,24427.384615384617,317556.0,0.0,0.0,0.0,0.0,0.0,2250.0,40409.685,22428.44325,0.0,675000.0,234199.471875,0.0,721332.0,266237.409375,0.0,1.1143780290791598,0.8613359842230166,0.0498274842083437,0.0,15750.0,6750.0,31041.0,675000.0,295830.91184210527,10.0,16.0,12.333333333333334,0.0,0.1642104933364141,0.1052278329244193,-2437.0,-25.0,-783.75,17.4,348.0,-1.0,-27.234375,128.0,0.0,0.0,0.0,0.0,128.0,4.0,1.0,0.0080645161290322,1.0,30.0,7.241935483870968,898.0,2.7631315410871955,1.0187927757873714,126.33030419763406,0.0275327217008815,0.0,-142.18584677419352,-17631.045,1339638.5476437889,99805.815,23489.46181451613,2912693.265,4545.225,99805.815,23631.647661290324,2930324.31,-21.0,-807.6532258064516,-100149.0,124.0
2641,2641.0,0.0,1.0,0.0,0.0,1.0,67500.0,170640.0,11236.5,135000.0,0.01885,-12544.0,-407.0,-10661.0,-4532.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6508790972703268,0.7165702448010511,0.9791,0.1667,0.221,0.9791,0.1667,0.2303,0.9791,0.1667,0.225,0.2531,0.0,0.0,0.0,0.0,-186.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0324457908163265,0.3955696202531645,22500.0,0.1664666666666666,0.0658491561181434,-2809.0,-1612.0,-2307.375,149767.98214285722,-2504.0,-1519.0,-2081.625,-1675.875,0.0,0.0,0.0,61186.5,28905.91875,231247.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1730.43,16574.4,7586.955000000001,0.0,238500.0,44652.09375,0.0,314055.0,54539.71875,0.0,1.111161455973418,0.8461747230982115,0.0874244272542489,0.0,3312.0,473.1428571428572,17145.0,238500.0,71443.35,10.0,17.0,13.75,0.0,0.108953501303644,0.0155647859005205,-2495.0,-7.0,-806.8125,11.454545454545457,126.0,-1.0,-44.41975308641975,81.0,0.0,0.0,0.0,0.0,81.0,2.0,6.0,0.0958904109589041,7.0,42.0,12.027397260273972,878.0,1.0,0.9863013698630136,72.0,0.0075495940245635,2215.215,45.34458904109589,3310.155,82721.85391232878,71648.73,8385.353630136986,612130.815,1094.94,71648.73,8340.009041095891,608820.66,-7.0,-1388.3150684931506,-101347.0,73.0
2643,2643.0,0.0,0.0,1.0,0.0,1.0,391500.0,808650.0,26217.0,675000.0,0.006629,-16790.0,-379.0,-1197.0,-346.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7103808476055092,0.475849908720221,0.9881,0.0208,0.0127,0.9881,0.0,0.0113,0.9881,0.0208,0.0129,0.0114,0.0,0.0,0.0,0.0,-1492.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0225729600952948,0.4841402337228714,195750.0,0.0669655172413793,0.0324207011686143,-2354.0,-17.0,-1246.5882352941176,553722.1323529412,-2170.0,1079.0,-560.375,-694.3529411764706,0.0,0.0,0.0,1125000.0,323454.17647058825,5498721.0,276088.5,36704.7,550570.5,0.0,0.0,0.0,0.0,0.0,3895.155,7273.44,5584.2975,34650.0,35055.0,34852.5,33579.0,35671.5,34625.25,0.9713636937050588,1.043956043956044,1.0076598688305514,0.0026348246574808,4500.0,4500.0,4500.0,34650.0,35055.0,34852.5,5.0,7.0,6.0,0.121999653757243,0.1287037235985475,0.1253516886778952,-2015.0,-1492.0,-1753.5,9.0,18.0,-42.0,-54.47619047619048,21.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,30.0,11.555555555555555,208.0,1.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,7283.16,5019.29,90347.22,3850.155,7283.16,5019.29,90347.22,-1290.0,-1679.2222222222222,-30226.0,18.0
2653,2653.0,0.0,1.0,1.0,0.0,2.0,180000.0,225000.0,24003.0,225000.0,0.04622,-11802.0,-186.0,-663.0,-2107.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0756359267794488,0.1664055461839363,0.9821,0.1667,0.0608,0.9821,0.1667,0.0633,0.9821,0.1667,0.0618,0.0478,0.0,0.0,0.0,0.0,-154.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0157600406710727,0.8,45000.0,0.13335,0.10668,-600.0,-154.0,-431.0,58477.0,121.0,1121.0,597.3333333333334,-211.66666666666663,0.0,0.0,0.0,61600.5,35533.5,106600.5,44109.0,27234.0,81702.0,0.0,0.0,0.0,0.0,0.0,9832.635,41234.49,22767.045,54216.0,337500.0,178765.3125,54216.0,382864.5,191171.8125,0.8710042679209128,1.111168684346884,0.9723876827719214,0.0062989379892791,0.0,10620.0,2655.0,54216.0,337500.0,178765.3125,10.0,20.0,17.0,0.0,0.1089598772925746,0.0272399693231436,-685.0,-90.0,-411.75,10.0,60.0,-2.0,-16.11111111111111,9.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,20.0,7.25,58.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,18857.7,16588.535625,132708.285,9832.635,18857.7,16588.535625,132708.285,-40.0,-448.25,-3586.0,8.0
2660,2660.0,0.0,1.0,0.0,0.0,1.0,81000.0,225000.0,16501.5,225000.0,0.0116569999999999,-9580.0,-905.0,-9580.0,-1377.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5929182439050639,0.656158373001177,0.9717,0.0833,0.04,0.9717,0.0833,0.0417,0.9717,0.0833,0.0408,0.035,2.0,0.0,2.0,0.0,-184.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0944676409185803,0.36,27000.0,0.2037222222222222,0.07334,-823.0,-514.0,-668.5,47740.5,-642.0,-149.0,-395.5,-501.0,0.0,0.0,0.0,90675.0,49837.5,99675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,6672.15,18703.575,12687.8625,67455.0,71100.0,69277.5,66721.5,71100.0,68910.75,1.0,1.010993457880893,1.0054967289404466,6.042805808948309e-05,0.0,6745.5,3372.75,67455.0,71100.0,69277.5,14.0,18.0,16.0,0.0,0.0999967703495817,0.0499983851747908,-1649.0,-184.0,-916.5,8.0,16.0,-2.0,-34.9375,16.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,0.0,0.0,20.0,13.571428571428571,190.0,1.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,19423.665,11020.323214285714,154284.525,6672.15,19423.665,11020.323214285714,154284.525,-66.0,-1097.428571428571,-15364.0,14.0
2664,2664.0,0.0,1.0,0.0,1.0,0.0,270000.0,675000.0,53329.5,675000.0,0.032561,-14675.0,-2052.0,-8818.0,-4772.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7813616771573793,0.4014074137749511,0.9071,0.1667,0.0852,0.9071,0.1667,0.0888,0.9071,0.1667,0.0867,0.0796,0.0,0.0,0.0,0.0,-564.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1398296422487223,0.4,270000.0,0.1975166666666666,0.0790066666666666,-1168.0,-132.0,-495.07142857142856,57630.840659340654,-129.0,1537.0,805.3076923076923,-95.21428571428572,0.0,0.0,0.0,2250000.0,498686.78571428574,6981615.0,2034058.5,250867.5042857143,3512145.06,0.0,1737.5939999999998,17375.94,0.0,175.0,15057.405,30103.335,22580.37,0.0,450000.0,195628.5,0.0,539100.0,225328.5,0.8347245409015025,1.0,0.9173622704507512,0.0136579886901095,0.0,0.0,0.0,136885.5,450000.0,293442.75,13.0,19.0,15.333333333333334,0.0,0.0,0.0,-564.0,-487.0,-512.6666666666666,17.0,34.0,-8.0,-13.5,12.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,21.0,13.9,139.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,15057.405,15056.5905,150565.905,15049.26,15057.405,15056.5905,150565.905,-275.0,-411.9,-4119.0,10.0
2701,2701.0,0.0,1.0,0.0,0.0,0.0,157500.0,1096020.0,48406.5,900000.0,0.00823,-17791.0,-5072.0,-8632.0,-1341.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6433238364635772,0.6769925032909132,0.9826,0.1667,0.1591,0.9826,0.1667,0.1658,0.9826,0.1667,0.162,0.1848,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2850879658254173,0.1437017572672031,78750.0,0.3073428571428571,0.0441657086549515,-2759.0,-472.0,-1252.5454545454545,618204.6727272726,-2577.0,1354.0,-370.7272727272728,-649.5454545454545,0.0,0.0,0.0,733500.0,266084.1818181818,2926926.0,535302.0,132973.5825,1329735.825,0.0,0.0,0.0,0.0,283.0,3484.35,6750.0,5117.175,0.0,16542.0,8271.0,17361.0,135000.0,76180.5,0.0,0.9528252980819076,0.4764126490409539,0.4539380243324382,0.0,0.0,0.0,16542.0,16542.0,16542.0,12.0,15.0,13.5,0.0,0.0,0.0,-2597.0,-2399.0,-2498.0,3.0,6.0,-79.0,-82.0,7.0,0.0,0.0,0.0,0.0,7.0,2.0,60.0,2.878787878787879,95.0,30.0,8.181818181818182,270.0,1.0,0.9395555555555556,28.186666666666667,0.0404750668313246,77.4,5.2845,158.535,305.3540350862069,85500.0,6748.607727272727,222704.055,12.6,85500.0,7411.433999999999,222343.02,-1815.0,-2134.9333333333334,-64048.0,33.0
2705,2705.0,0.0,0.0,1.0,0.0,1.0,180000.0,270000.0,13500.0,270000.0,0.022625,-16642.0,-6387.0,-697.0,-188.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,2.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6468634351120908,0.7503751495159068,0.9776,0.1667,0.055,0.9777,0.1667,0.0573,0.9776,0.1667,0.056,0.0715,0.0,0.0,0.0,0.0,-808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3837880062492489,0.6666666666666666,60000.0,0.075,0.05,-869.0,-578.0,-647.5,11951.499999999996,-428.0,1220.0,75.25,-335.3333333333333,0.0,0.0,2805.75,6615000.0,1604783.25,9628699.5,0.0,0.0,0.0,0.0,150000.0,450000.0,0.0,0.0,13215.33,29644.38,21429.855,134950.5,186862.5,160906.5,117459.0,155902.5,136680.75,1.1489157918933417,1.1985856544955982,1.1737507231944695,0.0012335476254635,26991.0,37372.5,32181.75,134950.5,186862.5,160906.5,12.0,18.0,15.0,0.2035005380911922,0.210591385331781,0.2070459617114866,-808.0,-335.0,-571.5,8.0,16.0,-2.0,-13.294117647058824,17.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,16.0,11.8125,189.0,1.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,29644.38,19371.2540625,309940.065,13204.08,29644.38,19371.2540625,309940.065,-43.0,-380.6875,-6091.0,16.0
2708,2708.0,0.0,0.0,0.0,0.0,0.0,337500.0,755190.0,36328.5,675000.0,0.00702,-18562.0,-1220.0,-2005.0,-2096.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,16.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5661870259499292,0.7136313997323308,0.9965,0.3333,0.0881,0.9965,0.3333,0.0749,0.9965,0.3333,0.0897,0.0707,5.0,0.0,5.0,0.0,-1896.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0657256761124878,0.446907400786557,168750.0,0.10764,0.048105112620665,-2770.0,-226.0,-2053.5,971462.7,-2645.0,-42.0,-1858.1666666666667,-1268.1666666666667,0.0,0.0,21.72,91035.0,59195.04750000001,355170.28500000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,7917.795,16817.895,12818.358,46831.5,152955.0,105819.3,49923.0,166077.0,104401.8,0.9209884571614372,1.1840888066604995,1.0313780356834603,0.0129949385300505,0.0,22500.0,7200.0,46831.5,152955.0,105819.3,14.0,17.0,15.2,0.0,0.2045625298818386,0.0777933359489687,-2556.0,-262.0,-1465.8,9.6,48.0,-2.0,-44.86,50.0,0.0,0.0,0.0,0.0,50.0,1.0,18.0,0.5,23.0,30.0,10.695652173913045,492.0,1.0,1.0,46.0,0.0,0.0,0.0,0.0,0.0,16817.895,13141.62293478261,604514.655,7896.735,16817.895,13141.62293478261,604514.655,-49.0,-1319.7608695652175,-60709.0,46.0
2711,2711.0,0.0,0.0,1.0,1.0,0.0,292500.0,370629.0,23814.0,306000.0,0.006207,-15936.0,-466.0,-2328.0,-4549.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7256615848253485,0.5797274227921155,0.9871,0.375,0.2766,0.9871,0.375,0.2882,0.9871,0.375,0.2816,0.2393,1.0,1.0,1.0,1.0,-3314.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0292419678714859,0.7891989024064496,146250.0,0.0814153846153846,0.0642529321774604,-2864.0,-148.0,-1578.9,1109100.5444444446,-2681.0,1678.0,-946.3,-1113.3,0.0,0.0,0.0,936000.0,180419.4,1804194.0,899050.5,136888.07142857142,958216.5,0.0,0.0,0.0,0.0,0.0,2250.0,8020.71,5764.425,0.0,67441.5,42937.875,0.0,73377.0,44037.0,0.9191095302342696,1.0266396634989874,0.9819163979110858,0.0031359448883646,0.0,5940.0,2970.0,45000.0,67441.5,57250.5,11.0,16.0,13.25,0.0,0.1015397655036021,0.050769882751801,-1343.0,-258.0,-543.25,6.666666666666667,20.0,-3.0,-24.83333333333333,18.0,0.0,0.0,0.0,0.0,18.0,2.0,0.0,0.0,0.0,34.0,14.647058823529411,249.0,1.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,23487.255,8793.044999999998,149481.76499999998,7022.565,23487.255,8793.044999999998,149481.76499999998,-54.0,-716.7647058823529,-12185.0,17.0
2717,2717.0,0.0,1.0,0.0,0.0,0.0,202500.0,1218906.0,63243.0,1152000.0,0.031329,-20496.0,-11323.0,-11283.0,-3871.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3787400305494797,0.6674577419214722,0.9786,0.1667,0.051,0.9786,0.1667,0.0531,0.9786,0.1667,0.0519,0.0445,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5524492583918813,0.1661325811834546,101250.0,0.3123111111111111,0.0518850510211616,-2802.0,-305.0,-1649.8,689037.885714286,-2402.0,10249.0,-347.8666666666667,-805.9333333333333,0.0,0.0,4319.541,1449000.0,296237.292,4443559.38,539257.5,40577.835,608667.525,0.0,1501.665,22524.975,0.0,0.0,5143.095,17554.5,11348.7975,38205.0,225000.0,131602.5,37215.0,225000.0,131107.5,1.0,1.026602176541717,1.0133010882708584,0.0003538378983783,3825.0,3825.0,3825.0,38205.0,225000.0,131602.5,11.0,14.0,12.5,0.101505183413078,0.101505183413078,0.101505183413078,-1987.0,-1408.0,-1697.5,14.0,28.0,-29.0,-44.12,25.0,9.0,0.36,9.0,0.36,25.0,2.0,9.0,0.375,9.0,29.0,9.541666666666666,229.0,1.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,22798.89,15186.46875,364475.25,5143.095,22798.89,15186.46875,364475.25,-882.0,-1321.6666666666667,-31720.0,24.0
2734,2734.0,0.0,1.0,0.0,0.0,1.0,315000.0,774000.0,39649.5,774000.0,0.072508,-18794.0,-1842.0,-11958.0,-2339.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7002368548349266,0.475849908720221,0.9717,0.1667,0.1088,0.9717,0.1667,0.1133,0.9717,0.1667,0.1107,0.1233,2.0,0.0,2.0,0.0,-2669.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0980100031925082,0.4069767441860465,157500.0,0.1258714285714285,0.0512267441860465,-2607.0,-213.0,-1361.875,682859.1833333333,-2303.0,943.0,-992.9333333333332,-797.4375,0.0,0.0,0.0,585000.0,186181.425,2978902.8,473526.0,80900.7,1213510.5,0.0,2079.8685,20798.685,0.0,722.0,2250.0,45281.205,16523.275,0.0,1161000.0,151327.08000000002,0.0,1329579.0,170779.78125,0.8535358039160732,1.1112616753150482,0.9648590186584466,0.0088775933029542,0.0,7235.64,4663.26,45000.0,1161000.0,269025.92000000004,10.0,18.0,13.75,0.0,0.1090418951787299,0.0716433746134071,-2920.0,-5.0,-823.375,18.0,162.0,-1.0,-46.67105263157895,76.0,17.0,0.8421052631578947,0.0,0.0,76.0,2.0,25.0,1.2987012987012987,100.0,97.0,12.883116883116884,992.0,1.0,0.9090909090909092,70.0,0.0816702106910727,16019.595,719.1765584415584,55376.595,6170189.61336267,19141.02,10497.490714285716,808306.785,6.435,19141.02,9778.314155844157,752930.19,-5.0,-1455.4675324675325,-112071.0,77.0
